datetime,cpu,mem,,avg
Mon Oct 16 13:32:44 GMT 2023,59,151853,,
Mon Oct 16 13:32:45 GMT 2023,59,151905,,
Mon Oct 16 13:32:45 GMT 2023,59,152130,,
Mon Oct 16 13:32:46 GMT 2023,59,152039,,
Mon Oct 16 13:32:47 GMT 2023,59,152034,,
Mon Oct 16 13:32:47 GMT 2023,59,152106,,
Mon Oct 16 13:32:48 GMT 2023,59,152144,,
Mon Oct 16 13:32:49 GMT 2023,59,152196,,
Mon Oct 16 13:32:49 GMT 2023,59,152253,,
Mon Oct 16 13:32:50 GMT 2023,59,152313,,
Mon Oct 16 13:32:51 GMT 2023,59,152353,,
Mon Oct 16 13:32:51 GMT 2023,59,152576,,
Mon Oct 16 13:32:52 GMT 2023,59,152474,,
Mon Oct 16 13:32:53 GMT 2023,59,152520,,
Mon Oct 16 13:32:53 GMT 2023,59,152560,,
Mon Oct 16 13:32:54 GMT 2023,59,152597,,
Mon Oct 16 13:32:55 GMT 2023,59,152653,,
Mon Oct 16 13:32:55 GMT 2023,59,152704,,
Mon Oct 16 13:32:56 GMT 2023,59,152757,,
Mon Oct 16 13:32:57 GMT 2023,59,152800,,
Mon Oct 16 13:32:57 GMT 2023,59,152860,,
Mon Oct 16 13:32:58 GMT 2023,59,152945,,
Mon Oct 16 13:32:59 GMT 2023,59,152963,,
Mon Oct 16 13:32:59 GMT 2023,59,153024,,
Mon Oct 16 13:33:00 GMT 2023,59,153083,,
Mon Oct 16 13:33:01 GMT 2023,59,153121,,
Mon Oct 16 13:33:01 GMT 2023,50,153178,,
Mon Oct 16 13:33:02 GMT 2023,50,153208,,
Mon Oct 16 13:33:03 GMT 2023,50,153259,,
Mon Oct 16 13:33:03 GMT 2023,50,153305,,
Mon Oct 16 13:33:04 GMT 2023,50,153579,,
Mon Oct 16 13:33:05 GMT 2023,50,153514,,
Mon Oct 16 13:33:05 GMT 2023,50,153542,,
Mon Oct 16 13:33:06 GMT 2023,50,153585,,
Mon Oct 16 13:33:07 GMT 2023,50,153637,,
Mon Oct 16 13:33:07 GMT 2023,50,153686,,
Mon Oct 16 13:33:08 GMT 2023,50,153749,,
Mon Oct 16 13:33:09 GMT 2023,50,153798,,
Mon Oct 16 13:33:09 GMT 2023,50,153854,,
Mon Oct 16 13:33:10 GMT 2023,50,154081,,
Mon Oct 16 13:33:11 GMT 2023,50,153988,,
Mon Oct 16 13:33:11 GMT 2023,50,154883,,
Mon Oct 16 13:33:12 GMT 2023,50,154800,,
Mon Oct 16 13:33:13 GMT 2023,50,154842,,
Mon Oct 16 13:33:13 GMT 2023,50,154904,,
Mon Oct 16 13:33:14 GMT 2023,50,154953,,
Mon Oct 16 13:33:15 GMT 2023,50,155002,,
Mon Oct 16 13:33:15 GMT 2023,50,155064,,
Mon Oct 16 13:33:16 GMT 2023,50,155279,,
Mon Oct 16 13:33:17 GMT 2023,50,155202,,
Mon Oct 16 13:33:17 GMT 2023,50,155197,,
Mon Oct 16 13:33:18 GMT 2023,50,155247,,
Mon Oct 16 13:33:19 GMT 2023,50,155302,,
Mon Oct 16 13:33:19 GMT 2023,50,155365,,
Mon Oct 16 13:33:20 GMT 2023,50,155420,,
Mon Oct 16 13:33:21 GMT 2023,50,155470,,
Mon Oct 16 13:33:21 GMT 2023,50,155522,,
Mon Oct 16 13:33:22 GMT 2023,50,155672,,
Mon Oct 16 13:33:23 GMT 2023,50,155639,,
Mon Oct 16 13:33:23 GMT 2023,50,155671,,
Mon Oct 16 13:33:24 GMT 2023,50,155728,,
